"uid","longitude","latitude","sids1","sids2","sids3","state","elev","name","date","pcpn","avgt","obst","mint","maxt"
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-01,0,69,58,56,82
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-02,0,68.5,59,55,82
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-03,0,69.5,59,55,84
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-04,0.2,74,62,59,89
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-05,0.06,70.5,58,57,84
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-06,0.01,65,53,50,80
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-07,0,64,50,49,79
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-08,0,62,49,48,76
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-09,0,63.5,54,49,78
"25056","-72.25778","43.79167","438556 2","USC00438556 6","UVDV1 7","VT","460","UNION VILLAGE DAM",2015-08-10,0,66.5,54,53,80
